clause_text,label
"Service fees are exclusive of applicable sales tax, VAT, or local duties.",Payment
"In no event shall either party be liable for consequential, indirect or special damages.",Liability
Client may cancel this order without penalty prior to written confirmation.,Termination
Party agrees not to solicit employees or customers of the other party for 24 months.,Non-Compete
The indemnifying party shall control the legal defense and settlement of indemnified claims.,Indemnification
Payment for services rendered shall be due on the first business day of each month.,Payment
This contract is subject to the governing laws of the Commonwealth of Massachusetts.,Governing Law
Company will defend and hold harmless licensee against patent infringement suits.,Indemnification
In no event shall seller be liable for lost profits or loss of business opportunity.,Liability
Company reserves the right to terminate this contract immediately if Service Provider fails to deliver.,Termination
Employee covenants not to engage in competing business during the term and for 1 year after.,Non-Compete
Compensation shall be paid according to the milestones detailed in Exhibit A.,Payment
Recipient shall protect disclosed secrecy with the same degree of care as its own information.,Confidentiality
Either party may terminate immediately if the other becomes insolvent or files for bankruptcy.,Termination
This Agreement shall be governed by and construed in accordance with the laws of New York.,Governing Law
Client shall indemnify Provider against damages arising from unauthorized content use.,Indemnification
"Provider agrees to defend, indemnify and hold harmless Client against third party claims.",Indemnification
All payments hereunder are non-refundable except as expressly set forth herein.,Payment
"Neither party limits its liability for gross negligence, willful misconduct, or fraud.",Liability
Receiving Party agrees to maintain all Confidential Information in strict confidence.,Confidentiality
Either party may terminate this agreement upon 30 days written notice to the other party.,Termination
Client shall pay all invoices within 30 days of receipt in US Dollars ($ USD).,Payment
A late fee of 1.5% per month will be charged on all overdue invoice amounts.,Payment
"Company's liability for direct loss is capped at one million dollars ($1,000,000).",Liability
Neither party shall publish or disclose the financial terms of this deal.,Confidentiality
The maximum aggregate liability of Provider shall not exceed the total fees paid.,Liability
"The term of this Agreement shall be one year, renewable upon mutual written agreement.",Termination
Any claims arising under this Agreement shall be resolved through binding arbitration in London.,Governing Law
Neither party shall recruit key management personnel from the other party during term.,Non-Compete
Any dispute shall be submitted to the exclusive jurisdiction of the state courts in California.,Governing Law
Contractor shall not directly or indirectly compete with the Client in the restricted territory.,Non-Compete
Confidentiality restrictions do not apply to information in the public domain.,Confidentiality
The parties shall not disclose proprietary trade secrets to any third party without consent.,Confidentiality
